RESULTS for no_load analysis
launched at 09:09:41 on 2016/08/12 by Giacomo on test.

  1            2                3                4                5                6                7                8                9               10               11               12               13               14               15          
 thm         torque       stator torque       torque_dq       lambda_a         lambda_b         lambda_c         lambda_d         lambda_q       magn energy      magn coenergy         Fx               Fy            stator Fx        stator Fy      

 0.00    -8.09962e-003     6.38766e-003     0.00000e+000     8.64214e-003    -3.70831e-003    -3.70867e-003     8.23376e-003     2.09163e-007     1.50493e+001     1.50493e+001     3.40417e-002     1.52739e-001     1.62143e-001    -3.03170e-002    
 1.00    -9.37551e-001     9.27310e-001     0.00000e+000     8.60021e-003    -3.35422e-003    -4.06157e-003     8.21553e-003    -2.16085e-005     1.50403e+001     1.50403e+001     1.06750e-001    -8.03265e-002    -3.52521e-002    -3.63262e-002    
 2.00    -7.82107e-001     7.79817e-001     0.00000e+000     8.48681e-003    -2.98900e-003    -4.42235e-003     8.17030e-003    -2.66276e-005     1.50238e+001     1.50238e+001     7.69903e-002     3.26308e-001     1.32959e-001    -2.33601e-001    
 3.00    -4.23213e-001     4.24908e-001     0.00000e+000     8.33687e-003    -2.61570e-003    -4.78777e-003     8.12310e-003    -1.68964e-005     1.50136e+001     1.50136e+001     5.30834e-002    -3.79268e-002    -7.21551e-002    -9.53931e-003    
 4.00    -1.80995e-001     1.84420e-001     0.00000e+000     8.17271e-003    -2.23940e-003    -5.15325e-003     8.08955e-003     4.08986e-007     1.50086e+001     1.50086e+001     1.06870e-001    -8.07769e-002    -7.03962e-002    -1.57155e-002    
 5.00    -7.45609e-003     1.06170e-002     0.00000e+000     8.00227e-003    -1.86152e-003    -5.51598e-003     8.07452e-003     2.07707e-005     1.50073e+001     1.50073e+001     4.61224e-002    -9.36635e-002    -1.08121e-001    -2.44048e-002    
 6.00     1.73838e-001    -1.63692e-001     0.00000e+000     7.82840e-003    -1.48289e-003    -5.87293e-003     8.07867e-003     4.01095e-005     1.50085e+001     1.50085e+001     4.50176e-002     2.72818e-001     1.26646e-001    -1.64927e-001    
 7.00     4.16637e-001    -3.99193e-001     0.00000e+000     7.65316e-003    -1.10485e-003    -6.22063e-003     8.10135e-003     5.39205e-005     1.50131e+001     1.50131e+001     6.16210e-002     6.00805e-002    -6.26691e-003    -7.99393e-002    
 8.00     7.80209e-001    -7.57388e-001     0.00000e+000     7.47772e-003    -7.28669e-004    -6.55158e-003     8.13850e-003     5.65242e-005     1.50229e+001     1.50229e+001     6.09084e-002    -1.36963e-002    -2.01032e-002    -6.82949e-002    
 9.00     9.20174e-001    -9.15780e-001     0.00000e+000     7.29803e-003    -3.59833e-004    -6.84878e-003     8.17686e-003     3.83561e-005     1.50399e+001     1.50399e+001    -1.73027e-001    -2.91415e-002     4.77256e-002     1.02800e-001    
 10.00    -8.08665e-003     5.72555e-003     0.00000e+000     7.09496e-003     1.07961e-007    -7.09520e-003     8.19269e-003     1.53887e-007     1.50491e+001     1.50491e+001    -2.82400e-003     1.22622e-002    -4.21110e-003    -1.28984e-002    
 11.00    -9.34508e-001     9.30928e-001     0.00000e+000     6.84859e-003     3.59954e-004    -7.29839e-003     8.17698e-003    -3.81002e-005     1.50399e+001     1.50399e+001    -2.07083e-001    -5.31191e-002     6.02856e-002     8.02272e-002    
 12.00    -7.89972e-001     7.80978e-001     0.00000e+000     6.55169e-003     7.29196e-004    -7.47873e-003     8.13921e-003    -5.59423e-005     1.50240e+001     1.50240e+001    -8.65276e-002     1.46863e-001     1.34261e-001    -1.70963e-002    
 13.00    -4.27632e-001     4.14122e-001     0.00000e+000     6.22084e-003     1.10515e-003    -7.65404e-003     8.10203e-003    -5.35975e-005     1.50141e+001     1.50141e+001    -9.09629e-002     3.82739e-002     3.25497e-002     8.73685e-003    
 14.00    -1.69486e-001     1.84974e-001     0.00000e+000     5.87223e-003     1.48383e-003    -7.82833e-003     8.07841e-003    -3.91974e-005     1.50082e+001     1.50082e+001    -2.75726e-002    -1.27937e-001    -5.02349e-002     4.70748e-002    
 15.00     3.96684e-003     1.66223e-002     0.00000e+000     5.51506e-003     1.86235e-003    -8.00227e-003     8.07423e-003    -1.98049e-005     1.50068e+001     1.50068e+001     4.55172e-002    -1.06948e-001    -7.70578e-002    -1.55891e-002    
 16.00     1.68305e-001    -1.69372e-001     0.00000e+000     5.15323e-003     2.23991e-003    -8.17315e-003     8.08994e-003    -1.15682e-008     1.50090e+001     1.50090e+001    -2.29251e-002     3.71040e-002    -1.06147e-002    -4.71983e-002    
 17.00     4.09044e-001    -3.94543e-001     0.00000e+000     4.78711e-003     2.61618e-003    -8.33674e-003     8.12285e-003     1.75260e-005     1.50131e+001     1.50131e+001    -3.07047e-002     9.52005e-002     3.08321e-003    -6.18593e-002    
 18.00     7.82629e-001    -7.55784e-001     0.00000e+000     4.42116e-003     2.98941e-003    -8.48627e-003     8.16958e-003     2.74832e-005     1.50228e+001     1.50228e+001    -8.76009e-002     6.85143e-002     7.67613e-002    -6.00328e-002    
 19.00     9.18261e-001    -9.16124e-001     0.00000e+000     4.06108e-003     3.35418e-003    -8.60000e-003     8.21520e-003     2.18512e-005     1.50397e+001     1.50397e+001     1.16842e-001     1.30146e-001    -2.95342e-002    -1.22546e-001    
