RESULTS for no_load analysis
launched at 18:04:36 on 2016/08/08 by Giacomo on test.

thm        torque       stator torque      lambda_a         lambda_b         lambda_c       

0.00    -9.04777e-003    4.38002e-003    8.73009e-003    -3.59000e-003    -3.44034e-003    
1.00    -7.26723e-001    7.24616e-001    8.68645e-003    -3.24533e-003    -3.75653e-003    
2.00    -4.88209e-001    4.86151e-001    8.56925e-003    -2.89033e-003    -4.08119e-003    
3.00    -1.95918e-001    2.04282e-001    8.41302e-003    -2.52759e-003    -4.41354e-003    
4.00    -8.52168e-002    8.18906e-002    8.24186e-003    -2.16138e-003    -4.74677e-003    
5.00    -4.83982e-003    -3.02600e-004    8.06420e-003    -1.79469e-003    -5.08063e-003    
6.00    7.48455e-002    -8.61576e-002    7.88148e-003    -1.42854e-003    -5.41323e-003    
7.00    2.09347e-001    -2.12567e-001    7.69446e-003    -1.06317e-003    -5.74237e-003    
8.00    4.76548e-001    -4.90033e-001    7.50135e-003    -6.99730e-004    -6.06135e-003    
9.00    7.04674e-001    -7.06783e-001    7.29473e-003    -3.44618e-004    -6.35731e-003    
10.00    -4.11758e-003    2.17983e-003    7.05748e-003    2.63160e-007    -6.60855e-003    
11.00    -7.22642e-001    7.27285e-001    6.77730e-003    3.44857e-004    -6.81721e-003    
12.00    -4.85719e-001    4.86156e-001    6.45205e-003    6.99637e-004    -6.99450e-003    
13.00    -1.97580e-001    1.98129e-001    6.10237e-003    1.06330e-003    -7.15734e-003    
14.00    -7.42552e-002    7.04436e-002    5.74239e-003    1.42822e-003    -7.31365e-003    
15.00    -1.86087e-003    1.40148e-003    5.38026e-003    1.79519e-003    -7.46654e-003    
16.00    7.21866e-002    -8.43058e-002    5.01592e-003    2.16117e-003    -7.61468e-003    
17.00    2.04118e-001    -2.08207e-001    4.65177e-003    2.52754e-003    -7.75646e-003    
18.00    4.81418e-001    -4.87972e-001    4.28918e-003    2.88997e-003    -7.88423e-003    
19.00    7.07608e-001    -7.04989e-001    3.93482e-003    3.24582e-003    -7.97749e-003    
