RESULTS for no_load analysis
launched at 19:15:31 on 2016/08/08 by Giacomo on test.

thm        torque       stator torque      lambda_a         lambda_b         lambda_c       lambda_d        lambda_q      

-2.00    4.70808e-001    -2.58207e-001    8.57013e-003    -4.29039e-003    -2.34302e-003    7.99866e-003    -2.89814e-004    
-1.50    6.66289e-001    -5.40469e-001    8.63596e-003    -4.11171e-003    -2.43218e-003    7.99021e-003    -3.43831e-004    
-1.00    7.08997e-001    -6.44495e-001    8.68706e-003    -3.93481e-003    -2.52068e-003    7.97504e-003    -3.99612e-004    
-0.50    4.57174e-001    -2.91732e-001    8.71949e-003    -3.76222e-003    -2.60709e-003    7.95083e-003    -4.58942e-004    
0.00    -2.16313e-002    9.51637e-002    8.72994e-003    -3.59121e-003    -2.69255e-003    7.91455e-003    -5.18841e-004    
0.50    -4.64455e-001    4.06503e-001    8.71937e-003    -3.41970e-003    -2.77844e-003    7.86657e-003    -5.76351e-004    
1.00    -7.17837e-001    5.97650e-001    8.68693e-003    -3.24631e-003    -2.86463e-003    7.80600e-003    -6.29764e-004    
1.50    -6.76859e-001    6.76559e-001    8.63631e-003    -3.07063e-003    -2.95307e-003    7.73618e-003    -6.76932e-004    
2.00    -4.82160e-001    5.70206e-001    8.57045e-003    -2.89167e-003    -3.04168e-003    7.65833e-003    -7.17834e-004    
